,player,position
0,Max Aarons,FB
1,Tosin Adarabioyo,CB
2,Elijah Adebayo,FW
3,Simon Adingra,AM
4,Nayef Aguerd,CB
5,Anel Ahmedhodžić,CB
6,Ola Aina,FB
7,Rayan Aït-Nouri,"FB, CM"
8,Kristoffer Ajer,"CB, FB"
9,Manuel Akanji,"CB, FB, CM"
10,Nathan Aké,"CB, FB"
11,Trent Alexander-Arnold,FB
12,Miguel Almirón,AM
13,Edson Álvarez,CM
14,Julián Álvarez,"AM, FW, CM"
15,Zeki Amdouni,FW
16,Sofyan Amrabat,CM
17,Joachim Andersen,CB
18,Elliot Anderson,CM
19,Michail Antonio,FW
20,Antony,AM
21,Oliver Arblaster,CM
22,Cameron Archer,FW
23,Lorenz Assignon,FB
24,Serge Aurier,FB
25,Taiwo Awoniyi,FW
26,Jordan Ayew,AM
27,Benoît Badiashile,CB
28,Leon Bailey,"CM, AM"
29,George Baldock,CB
30,Carlos Baleba,CM
31,Ross Barkley,CM
32,Harvey Barnes,AM
33,Calvin Bassey,CB
34,Amari'i Bell,CB
35,Jean-Ricner Bellegarde,AM
36,Saïd Benrahma,AM
37,Rodrigo Bentancur,CM
38,Jóhann Berg Guðmundsson,CM
39,Sander Berge,CM
40,Beto,FW
41,Jordan Beyer,CB
42,Philip Billing,"AM, CM"
43,Yves Bissouma,CM
44,Jayden Bogle,FB
45,Willy Boly,CB
46,Sven Botman,CB
47,Jarrod Bowen,"FW, AM"
48,Conor Bradley,FB
49,Jarrad Branthwaite,CB
50,Ben Brereton,FW
51,Armando Broja,FW
52,Andre Brooks,CM
53,Jacob Brown,AM
54,Josh Brownhill,CM
55,Jacob Bruun Larsen,CM
56,Hugo Bueno,FB
57,Santiago Bueno,CB
58,Facundo Buonanotte,AM
59,Reece Burke,CB
60,Dan Burn,"FB, CB"
61,Moisés Caicedo,CM
62,Tom Cairney,CM
63,Dominic Calvert-Lewin,FW
64,Diego Carlos,CB
65,Casemiro,"CM, CB"
66,Matty Cash,FB
67,Timothy Castagne,FB
68,Trevoh Chalobah,CB
69,Ben Chilwell,FB
70,Tahith Chong,AM
71,Ryan Christie,CM
72,Jordan Clark,"AM, CM"
73,Nathaniel Clyne,"FB, CB"
74,Séamus Coleman,FB
75,Nathan Collins,CB
76,Levi Colwill,"FB, CB"
77,Lewis Cook,CM
78,Vladimír Coufal,FB
79,Marc Cucurella,FB
80,Josh Cullen,CM
81,Matheus Cunha,"FW, AM"
82,Mahmoud Dahoud,CM
83,Ameen Al-Dakhil,CB
84,Diogo Dalot,FB
85,Mikkel Damsgaard,CM
86,Danilo,CM
87,Arnaut Danjuma,CM
88,David Datro Fofana,FW
89,Ben Davies,CB
90,Craig Dawson,CB
91,Kevin De Bruyne,"CM, AM"
92,Hannes Delcroix,CB
93,Moussa Diaby,"FW, AM"
94,Rúben Dias,CB
95,Luis Díaz,AM
96,Lucas Digne,FB
97,Issa Diop,CB
98,Axel Disasi,"CB, FB"
99,Matt Doherty,FB
100,Jeremy Doku,AM
101,Nicolás Domínguez,CM
102,Abdoulaye Doucouré,"FW, CM"
103,Cheick Doucouré,CM
104,Alfie Doughty,FB
105,Tommy Doyle,CM
106,Lewis Dunk,CB
107,Jhon Durán,FW
108,Odsonne Édouard,FW
109,John Egan,CB
110,Anthony Elanga,AM
111,Harvey Elliott,"CM, AM"
112,Emerson,FB
113,Julio Enciso,AM
114,Wataru Endo,CM
115,Christian Eriksen,CM
116,Maxime Estève,CB
117,Pervis Estupiñán,FB
118,Jonny Evans,CB
119,Eberechi Eze,AM
120,Ansu Fati,AM
121,Evan Ferguson,FW
122,Bruno Fernandes,AM
123,Enzo Fernández,CM
124,Phil Foden,"AM, CM"
125,Lyle Foster,FW
126,Cody Gakpo,"FW, AM"
127,Conor Gallagher,"CM, AM"
128,Idrissa Gana Gueye,CM
129,Alejandro Garnacho,AM
